"PIN","Gender","Age","Height","Weight","Education","Marital","Employment","Income"
"00025_e1b9","Male",32,167.64,49.89512,"Masters or above","Married","Employed (full-time)","> $75,000"
"00028_e1b9","Female",48,155,68,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00029_e1b9","Female",48,160.02,70,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00030_e1b9","Male",33,175.26,68.0388,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00031_e1b9","Female",35,155,50,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00033_e1b9","Female",35,170.18,72.57472,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00038_e1b9","Female",34,155,59,"Bachelor","Married","Employed (full-time)","$15,000 - $24,999"
"00039_e1b9","Female",66,167.64,65.77084,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00040_e1b9","Female",24,174,48,"Masters or above","Married","Employed (full-time)","> $75,000"
"00041_e1b9","Female",58,170.18,58.96696,"Associate or vocational education","Divorced","Employed (part-time)","$25,000 - $74,999"
"00042_e1b9","Female",23,160.02,58.96696,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00044_e1b9","Male",32,167.64,49.89512,"Masters or above","Married","Employed (full-time)","> $75,000"
"00045_e1b9","Female",24,170.18,60,"Masters or above","Married","Employed (full-time)","$15,000 - $24,999"
"00046_e1b9","Male",30,168,67,"Bachelor","Married","Employed (full-time)","$25,000 - $74,999"
"00047_e1b9","Male",32,167.64,49.89512,"Masters or above","Married","Employed (full-time)","> $75,000"
"00048_e1b9","Male",30,175.26,54.43104,"Secondary","Never married","Self-employed","$25,000 - $74,999"
"00049_e1b9","Male",30,168,67,"Bachelor","Married","Employed (full-time)","$25,000 - $74,999"
"00053_e1b9","Female",48,165.1,64.410064,"Masters or above","Married","Employed (full-time)","> $75,000"
"00054_e1b9","Male",25,160,63,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
"00056_e1b9","Male",40,170.18,70.30676,"Bachelor","Married","Employed (full-time)","> $75,000"
"00057_e1b9","Male",32,182,67,"Bachelor","Never married","Employed (full-time)","$15,000 - $24,999"
"00059_e1b9","Female",35,165,63.50288,"Bachelor","Married","Employed (full-time)","$15,000 - $24,999"
"00060_e1b9","Female",35,160.02,49,"Bachelor","Married","Unemployed","< $15,000"
"00062_e1b9","Male",35,175.26,78,"Bachelor","Married","Employed (full-time)","$25,000 - $74,999"
"00064_e1b9","Female",46,160.02,58.96696,"Bachelor","Never married","Self-employed","$15,000 - $24,999"
"00065_e1b9","Female",29,162,62,"Bachelor","Never married","Employed (full-time)","$25,000 - $74,999"
"00066_e1b9","Female",25,170.18,46,"Masters or above","Married","Employed (full-time)","> $75,000"
"00069_e1b9","Female",45,134.62,70,"Bachelor","Married","Employed (full-time)","$15,000 - $24,999"
"00074_e1b9","Male",30,167.64,75.749864,"Masters or above","Married","Employed (full-time)","$25,000 - $74,999"
